,UF_NOME,DEPENDENCIA_NOME,LOCALIZACAO_NOME,IN_AGUA_POTAVEL,IN_ENERGIA_INEXISTENTE,IN_BIBLIOTECA,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_INFORMATICA,IN_COMPUTADOR,IN_EQUIP_IMPRESSORA,IN_EQUIP_TV,QT_EQUIP_TV,IN_EQUIP_LOUSA_DIGITAL,QT_EQUIP_LOUSA_DIGITAL,IN_EQUIP_MULTIMIDIA,QT_EQUIP_MULTIMIDIA,IN_DESKTOP_ALUNO,QT_DESKTOP_ALUNO,IN_COMP_PORTATIL_ALUNO,QT_COMP_PORTATIL_ALUNO,IN_INTERNET,IN_INTERNET_ALUNOS,IN_MATERIAL_PED_MULTIMIDIA,IN_PREENCHIMENTO_LP,IN_PREENCHIMENTO_MT,PROFICIENCIA_MT,PROFICIENCIA_LP,_merge
30,GO,Publica,Rural,0.987012987012987,0.004329004329004329,0.3961038961038961,0.025974025974025976,0.33766233766233766,0.8917748917748918,0.7380952380952381,0.8917748917748918,1.0,0.14502164502164502,0.0,0.6341991341991342,1.0,0.5692640692640693,1.0,0.43722943722943725,0.0,0.9523809523809523,0.49134199134199136,0.37012987012987014,1.0,1.0,0.8964665,0.183883,both
31,GO,Publica,Urbana,0.9996735226901731,0.0,0.544564152791381,0.13157035586026772,0.4107084557623245,0.9859614756774404,0.8684296441397323,0.9461312438785504,3.0,0.3042768527587333,0.0,0.8315377081292851,1.0,0.5377081292850147,1.0,0.5426052889324192,1.0,0.9986940907606922,0.47992164544564153,0.5008161932745674,1.0,1.0,0.0591205,-0.020963,both
32,MA,Privada,Rural,1.0,0.0,0.30246913580246915,0.030864197530864196,0.09259259259259259,0.7901234567901234,0.6419753086419753,0.7839506172839507,1.0,0.0,0.0,0.49382716049382713,0.0,0.4691358024691358,0.0,0.35185185185185186,0.0,0.8148148148148148,0.18518518518518517,0.25308641975308643,1.0,1.0,0.36528950000000004,0.23556,both
33,MA,Privada,Urbana,0.9873551106427819,0.0,0.6122233930453108,0.12539515279241306,0.2781875658587987,0.9188619599578504,0.7850368809272918,0.8493150684931506,1.0,0.0779768177028451,0.0,0.7218124341412012,1.0,0.6290832455216017,1.0,0.5089567966280295,1.0,0.9430979978925185,0.4172813487881981,0.43308746048472074,1.0,1.0,0.186535,0.312823,both
34,MA,Publica,Rural,0.8605728727885426,0.009828699803426004,0.06262285874754282,0.005616399887672002,0.02990732940185341,0.35186745296265093,0.33684358326312835,0.3164841336703173,0.0,0.006739679865206402,0.0,0.2440325751193485,0.0,0.16161190676776185,0.0,0.14055040718899187,0.0,0.627071047458579,0.17242347655153048,0.062342038753159225,1.0,1.0,-0.48868049999999996,-0.3854605,both
35,MA,Publica,Urbana,0.9747112082422729,0.0,0.26974711208242275,0.08710583827661568,0.20543240711832658,0.8148610677489854,0.588198563846394,0.6262878551358102,1.0,0.061192631907586635,0.0,0.6063065875741492,1.0,0.4352169840774274,0.0,0.3337496097408679,0.0,0.9238214174211676,0.2928504527005932,0.21386200437090228,1.0,1.0,-0.387048,-0.375414,both
36,MG,Privada,Rural,0.95,0.0,0.775,0.175,0.675,1.0,0.8,0.9,1.0,0.05,0.0,0.85,1.5,0.85,7.5,0.625,1.5,1.0,0.75,0.5,1.0,1.0,0.627165,0.359143,both
37,MG,Privada,Urbana,0.9954472415640064,0.0,0.7233529726834493,0.2579003749330477,0.3652919121585431,0.9716122121049813,0.8433315479378682,0.8912694161756829,2.0,0.09989287627209427,0.0,0.72710230316015,1.0,0.5915907873594001,1.0,0.5133904659882164,1.0,0.9919657204070702,0.4547402249598286,0.49491162292447777,1.0,1.0,0.841823,0.7533475000000001,both
38,MG,Publica,Rural,0.9725933538883179,0.00034258307639602604,0.3538883179170949,0.021925316889345667,0.23329907502569372,0.7214799588900308,0.5495032545392258,0.7886262418636519,1.0,0.0777663583418979,0.0,0.49263446385748544,0.0,0.4566632408359027,0.0,0.2744090441932169,0.0,0.7982185680027407,0.2963343610825625,0.17540253511476533,1.0,1.0,-0.236061,-0.238399,both
39,MG,Publica,Urbana,0.9950325643006954,0.0,0.6649740589469036,0.1621591787172977,0.5200353239871951,0.9696434485042499,0.8220554145049123,0.9401699966883762,2.0,0.29539684291864443,0.0,0.8307760238436913,2.0,0.6261176730323436,5.0,0.4627442322552158,0.0,0.9823380064024727,0.4938734959708577,0.36659675460867647,1.0,1.0,0.2246825,0.17335,both
40,MS,Privada,Rural,1.0,0.0,0.8,0.6,0.6,0.8,0.8,1.0,3.0,0.2,0.0,0.8,3.0,0.8,10.0,0.4,0.0,1.0,0.6,0.6,1.0,1.0,0.972157,0.067055,both
41,MS,Privada,Urbana,0.9956616052060737,0.0,0.6355748373101953,0.21475054229934923,0.4403470715835141,0.9804772234273319,0.9045553145336226,0.9262472885032538,2.0,0.13665943600867678,0.0,0.8503253796095445,1.0,0.6876355748373102,3.0,0.5986984815618221,1.0,0.9978308026030369,0.6334056399132321,0.5661605206073753,1.0,1.0,0.608679,0.548367,both
42,MS,Publica,Rural,0.95,0.0,0.3458333333333333,0.06666666666666667,0.5125,0.925,0.7625,0.8208333333333333,1.0,0.17083333333333334,0.0,0.8291666666666667,1.0,0.725,5.0,0.4,0.0,0.975,0.5791666666666667,0.35833333333333334,1.0,1.0,-0.066918,-0.405627,both
43,MS,Publica,Urbana,0.9614003590664273,0.0,0.3770197486535009,0.1741472172351885,0.4955116696588869,0.9892280071813285,0.7764811490125674,0.9093357271095153,2.0,0.3249551166965889,0.0,0.8303411131059246,1.0,0.6355475763016158,5.0,0.4614003590664273,0.0,0.9991023339317774,0.48922800718132853,0.47127468581687615,1.0,1.0,-0.06862,-0.3302115,both
44,MT,Privada,Rural,1.0,0.0,1.0,0.0,1.0,1.0,0.75,0.5,0.5,0.0,0.0,0.75,1.0,0.5,4.0,0.75,1.5,1.0,0.5,0.75,1.0,1.0,0.8153630000000001,0.30464,both
45,MT,Privada,Urbana,0.9978354978354979,0.0,0.6796536796536796,0.27705627705627706,0.4523809523809524,0.974025974025974,0.8852813852813853,0.8939393939393939,2.0,0.15151515151515152,0.0,0.829004329004329,1.0,0.683982683982684,2.5,0.6060606060606061,1.0,0.9956709956709957,0.5800865800865801,0.5800865800865801,1.0,1.0,0.5768,0.437572,both
46,MT,Publica,Rural,0.9756756756756757,0.022972972972972974,0.35135135135135137,0.022972972972972974,0.22432432432432434,0.8256756756756757,0.5783783783783784,0.6756756756756757,1.0,0.09594594594594595,0.0,0.6364864864864865,1.0,0.5067567567567568,1.0,0.39054054054054055,0.0,0.8878378378378379,0.4756756756756757,0.3,1.0,1.0,-0.078231,-0.16898999999999997,both
47,MT,Publica,Urbana,0.9967298888162197,0.0,0.5415304120340092,0.12295618051013735,0.34532374100719426,0.9620667102681492,0.737083060824068,0.9123610202746893,3.0,0.342053629823414,0.0,0.8927403531720078,2.0,0.5297580117724002,1.0,0.5284499672988882,1.0,0.9941137998691956,0.486592544146501,0.49836494440810986,1.0,1.0,-0.132827,-0.115591,both
48,PA,Privada,Rural,0.8846153846153846,0.0,0.6153846153846154,0.07692307692307693,0.46153846153846156,0.8461538461538461,0.8076923076923077,0.6923076923076923,1.0,0.11538461538461539,0.0,0.8076923076923077,1.0,0.6538461538461539,2.0,0.3076923076923077,0.0,0.7307692307692307,0.4230769230769231,0.34615384615384615,1.0,1.0,-0.402601,-0.40221850000000003,both
49,PA,Privada,Urbana,0.9883227176220807,0.0,0.6401273885350318,0.3078556263269639,0.45329087048832273,0.9639065817409767,0.8545647558386412,0.8980891719745223,2.0,0.07430997876857749,0.0,0.8036093418259024,1.0,0.6995753715498938,2.0,0.5796178343949044,1.0,0.9745222929936306,0.5169851380042463,0.5329087048832272,1.0,1.0,0.299454,0.249753,both
