ID_REGIAO;ID_UF;ID_AREA;IN_PUBLICA;ID_LOCALIZACAO;IN_PREENCHIMENTO_LP;IN_PREENCHIMENTO_MT;PROFICIENCIA_MT;PROFICIENCIA_LP
4;41;2;1;1;1;1;0.08653;0.460869
4;41;2;1;1;1;1;0.24076;-0.111837
4;41;2;1;1;1;1;1.412959;1.746931
4;41;2;1;1;1;1;1.051189;0.388024
4;41;2;1;1;1;1;0.0081;0.52498
4;41;2;1;1;1;1;0.876011;0.013373
4;41;2;1;1;1;1;-0.730628;-0.275549
4;41;2;1;1;1;1;-0.276487;-0.780742
4;41;2;0;2;1;1;-1.084851;-0.640923
4;41;2;0;2;1;1;0.935273;0.62299
4;41;2;0;2;1;1;1.265364;1.853805
4;41;2;0;2;0;1;0.543185;
4;41;2;0;2;1;1;0.880823;-0.597339
4;41;2;0;2;1;1;0.302994;1.051238
4;41;2;0;2;1;1;1.914995;0.392934
4;41;2;0;2;1;1;0.097115;-0.121219
4;41;2;0;2;1;1;-0.077092;-0.084712
4;41;2;0;2;1;1;1.133471;1.051238
4;41;2;0;2;1;1;-0.099329;-0.37002
4;41;2;0;2;1;1;0.547068;1.535861
4;41;2;0;2;1;1;-0.833217;-0.399648
4;41;2;0;2;1;1;-0.02635;0.878217
4;41;2;0;2;1;1;0.114202;-0.432514
4;41;2;0;2;1;1;0.651899;1.034479
4;41;2;0;2;1;1;-1.490426;-0.719821
4;41;2;0;2;1;1;1.115869;1.040478
4;41;2;0;2;1;1;-0.088908;0.370752
4;41;2;0;2;1;1;-0.434522;-0.906066
4;41;2;0;2;1;1;-0.014733;0.606812
4;41;2;0;2;1;1;0.415793;0.076393
4;41;2;0;2;1;1;0.54981;-0.253576
4;41;2;0;2;1;1;1.508248;1.262513
4;41;2;0;2;1;1;1.586158;1.249124
4;41;2;0;2;1;1;0.718254;0.69626
4;41;2;0;2;1;1;0.924033;0.314344
4;41;2;0;2;1;1;-0.348489;-1.074862
4;41;2;0;2;1;0;;
4;41;2;0;2;1;1;-0.066388;-0.158018
4;41;2;0;2;0;0;;
4;41;2;0;2;1;1;0.788816;0.137405
4;41;2;0;2;1;1;1.133471;1.249124
4;41;2;0;2;1;1;-0.42885;-0.535304
4;41;2;0;2;1;1;0.399684;0.616663
4;41;2;0;2;1;1;0.64097;0.247139
4;41;2;0;2;1;1;1.307666;1.051283
4;41;2;0;2;0;1;-0.277449;
4;41;2;1;1;1;1;0.177144;0.61953
4;41;2;1;1;1;1;1.777764;1.280138
4;41;2;1;1;1;1;1.025636;1.281647
4;41;2;1;1;1;1;-0.115231;0.699775
4;41;2;1;1;1;1;-0.07742;0.451413
4;41;2;1;1;1;1;0.759587;0.600998
4;41;2;1;1;1;1;-0.247803;0.057023
4;41;2;1;1;1;1;1.111152;0.896878
4;41;2;1;1;1;1;-0.050299;-0.444372
4;41;2;1;1;1;1;1.124132;1.559599
4;41;2;1;1;1;1;-0.393947;-0.057925
4;41;2;1;1;1;1;0.28605;-0.151484
